364,San Nicolas (District),1
365,San Pedro,13
366,San Perfecto,15
367,San Rafael Village,9
368,San Roque,14
369,San Roque,7
370,San Roque,9
371,San Roque,13
372,San Vicente,14
373,Sangandaan,14
374,Sangandaan,2
375,Santa Ana,16
376,Santa Ana,13
377,Santa Ana (District),1
378,Santa Cruz,14
379,Santa Cruz,4
380,Santa Cruz,12
381,Santa Cruz (District),1
382,Santa Elena,7
383,Santa Lucia,14
384,Santa Lucia,12
385,Santa Lucia,15
386,Santa Mesa (District),1
387,Santa Monica,14
388,Santa Quiteria,2
389,Santa Rosa,12
390,Santa Teresita,14
391,Santo Cristo,14
392,Santo Domingo,14
393,Santo Nino,14
394,Santo Nino,7
395,Santo Nino,10
396,Santo Rosario Kanluran,13
397,Santo Rosario Silangan,13
398,Santo Tomas,12
399,Santol,14
400,Santolan,5
401,Santolan,12
402,Sauyo,14
403,Siena,14
404,Sikatuna Village,14
405,Silangan,14
406,Singkamas,4
407,Sipac-Almacen,9
408,Socorro,14
409,South Cembo,4
410,South Daang Hari,16
411,South Signal Village,16
412,South Triangle,14
413,St. Ignatius,14
414,St. Joseph (Halo-halo),15
415,St. Peter,14
416,Sucat,8
417,Sumilang,12
418,Sun Valley,10
419,Tabacalera,13
420,Tagalag,17
421,Tagumpay,14
422,Tala,2
423,Talayan,14
424,Talipapa,14
425,Talipapa,2
426,Talon Cuatro,3
427,Talon Dos,3
428,Talon Singko,3
429,Talon Tres,3
430,Talon Uno,3
431,Tambo,10
432,Tandang Sora,14
433,Tangos North,9
434,Tangos South,9
435,Tanong,5
436,Tanong,7
437,Tanyag,16
438,Tanza 1,9
439,Tanza 2,9
440,Tatalon,14
441,Teacher's Village East,14
442,Teacher's Village West,14
443,Tejeros,4
444,Tibagan,15
445,Tinajeros,5
446,Tondo (District),1
447,Tonsuya,5
448,Tugatog,5
449,Tuktukan,16
450,Tumana,7
451,Tunasan,8
452,Ugong,12
453,Ugong,17
454,Ugong Norte,14
455,Unang Sigaw,14
456,University Hills,2
457,UP Campus,14
458,UP Village,14
459,Upper Bicutan,16
460,Urdaneta,4
461,Urduja (Village),2
462,Ususan,16
463,Valencia,14
464,Valenzuela,4
465,Valenzuela (Pob.),17
466,Vasra,14
467,Veinte Reales,17
468,Vergara,6
469,Veterans Village,14
470,Villa Maria Clara,14
471,Vitalez,10
472,Wack-Wack Greenhills,6
473,Wawa,16
474,Wawang Pulo,17
475,West Crame,15
476,West Kamias,14
477,West Rembo,4
478,West Triangle,14
479,Western Bicutan,16
480,White Plains,14
481,Zapote,3
